,Gene,logFC_prot,padj_prot,logFC_tr,padj_tr
270,BACUNI_03773,0.850484871434855,1.0453377109271399e-12,1.73920111014218,5.47499235277218e-127
271,BACUNI_02061,0.826104612623169,1.05623502978649e-12,1.81255270581746,3.91664801424727e-99
272,BACUNI_00418,0.578353948448765,1.0702041457296799e-12,1.73458666108994,1.40191401086705e-87
273,trpD,-0.872706059457347,1.0702041457296799e-12,-4.22289226900306,4.2475899999129795e-258
274,BACUNI_02939,1.9005792739435,1.09787047848101e-12,2.07429074827417,7.93471924054894e-94
275,BACUNI_01320,-2.17616332930011,1.14043063396607e-12,0.57842393804727,1.43434095368878e-08
276,BACUNI_03583,1.61987345565582,1.17699487199483e-12,1.7087416438305,1.90416146275036e-60
277,BACUNI_04252,-0.735364798818068,1.17699487199483e-12,-2.64077706295275,2.74224049783871e-51
278,BACUNI_02059,0.705678825738257,1.18655964390904e-12,0.653117241681394,9.7361286794285e-22
279,BACUNI_02428,1.01620176746894,1.18655964390904e-12,1.94501264369604,1.27486474021434e-70
280,BACUNI_04453,0.973272695309738,1.19033571173682e-12,0.622843847171412,2.9633941366945303e-15
281,rfbC,-0.556075663395738,1.2135803885143999e-12,-1.70273894758547,5.0851606603029e-101
282,BACUNI_04282,2.05450439045631,1.2340239610269598e-12,-0.722332792181958,7.29512167391474e-13
283,BACUNI_00706,1.16957384506772,1.24476953859713e-12,3.88711441067002,9.909086731031289e-204
284,rumA,-0.841927147892044,1.2595854184380199e-12,-1.47217577573876,3.61817502252512e-89
285,guaB,-0.892642496221789,1.30961044867734e-12,-1.25788862935721,5.23508669279737e-54
286,BACUNI_04064,-0.97165155740155,1.30961044867734e-12,0.816688365181089,9.34035415565024e-05
287,BACUNI_03578,0.814579906099421,1.30961044867734e-12,0.932334640690705,6.98925205815674e-50
288,BACUNI_00363,1.09577057897625,1.31862134771878e-12,1.02476259527827,2.2010996925524798e-48
289,BACUNI_01624,-0.731935371170788,1.38583101400345e-12,-2.45649743322778,2.84761665402342e-271
290,pnp,-0.792421442639569,1.40666341375474e-12,-3.38136483030573,0.0
291,BACUNI_04580,1.36565534244374,1.41137141866885e-12,2.11437730727092,6.30494155147711e-152
292,BACUNI_04503,2.6126362542645,1.42458992726076e-12,9.47263689862808,0.0
293,BACUNI_03534,0.735364542851496,1.42802502388943e-12,1.85918485945633,1.1035745880207e-215
294,BACUNI_01203,1.08811482968308,1.44338071175246e-12,-0.822555483674678,2.00252095695544e-35
295,BACUNI_03280,0.808335267574499,1.4832705832665598e-12,0.670409403706189,4.557882860855721e-09
